from_ff,to_ff,slack_ns,arrival_ns,required_ns,from_x,from_y,to_x,to_y
dcnt\[2\]$_SDFFE_PP0P_,_16061_,-3.41622e-11,3.41622e-11,3.30212e-10,29916,3510,31320,2970
u0.w\[1\]\[30\]$_DFF_P_,sa01_sr\[5\]$_DFF_P_,2.31421e-10,1.3328e-10,3.64701e-10,35208,16470,60642,24840
sa13_sr\[4\]$_DFF_P_,sa03_sr\[0\]$_DFF_P_,1.52339e-10,2.12399e-10,3.64738e-10,24138,26730,16632,27000
sa33_sr\[0\]$_DFF_P_,text_out\[0\]$_DFF_P_,2.79706e-10,8.51104e-11,3.64817e-10,15714,39420,13662,39420
sa30_sr\[4\]$_DFF_P_,text_out\[100\]$_DFF_P_,2.82964e-10,8.18584e-11,3.64822e-10,37692,41040,47574,39960
sa30_sr\[5\]$_DFF_P_,text_out\[101\]$_DFF_P_,2.83689e-10,8.11321e-11,3.64822e-10,30294,45090,63396,36450
sa30_sr\[6\]$_DFF_P_,text_out\[102\]$_DFF_P_,2.82975e-10,8.18471e-11,3.64822e-10,25920,41040,42012,48870
sa30_sr\[7\]$_DFF_P_,text_out\[103\]$_DFF_P_,2.81668e-10,8.31531e-11,3.64821e-10,27162,46710,44874,49140
sa20_sr\[0\]$_DFF_P_,text_out\[104\]$_DFF_P_,2.79864e-10,8.49575e-11,3.64822e-10,47358,56970,50868,45630
sa20_sr\[1\]$_DFF_P_,text_out\[105\]$_DFF_P_,2.82964e-10,8.18584e-11,3.64822e-10,44442,53460,53622,44820
sa20_sr\[2\]$_DFF_P_,text_out\[106\]$_DFF_P_,2.65236e-10,9.95853e-11,3.64821e-10,47844,55620,64908,44820
u0.w\[0\]\[11\]$_DFF_P_,text_out\[107\]$_DFF_P_,2.81754e-10,8.3067e-11,3.64821e-10,34668,55350,64854,44280
sa20_sr\[4\]$_DFF_P_,text_out\[108\]$_DFF_P_,2.8445e-10,8.03286e-11,3.64779e-10,46224,50220,49734,44820
sa20_sr\[5\]$_DFF_P_,text_out\[109\]$_DFF_P_,2.84483e-10,8.03385e-11,3.64822e-10,44928,48870,52866,43740
u0.w\[3\]\[10\]$_DFF_P_,text_out\[10\]$_DFF_P_,2.84159e-10,8.06626e-11,3.64822e-10,25326,39420,26838,63990
u0.w\[0\]\[14\]$_DFF_P_,text_out\[110\]$_DFF_P_,2.8568e-10,7.91166e-11,3.64796e-10,28296,50220,48762,45630
sa20_sr\[7\]$_DFF_P_,text_out\[111\]$_DFF_P_,2.70864e-10,9.39568e-11,3.64821e-10,40932,52650,49248,41850
sa10_sr\[0\]$_DFF_P_,text_out\[112\]$_DFF_P_,2.81833e-10,8.29885e-11,3.64822e-10,49410,38070,49626,3510
u0.w\[0\]\[17\]$_DFF_P_,text_out\[113\]$_DFF_P_,2.82833e-10,8.19886e-11,3.64822e-10,35694,17280,50760,26190
sa10_sr\[2\]$_DFF_P_,text_out\[114\]$_DFF_P_,2.82345e-10,8.24769e-11,3.64822e-10,51408,7020,52758,35370
u0.w\[0\]\[19\]$_DFF_P_,text_out\[115\]$_DFF_P_,2.82773e-10,8.20487e-11,3.64822e-10,36072,14310,50706,27000
sa10_sr\[4\]$_DFF_P_,text_out\[116\]$_DFF_P_,2.89015e-10,7.57728e-11,3.64788e-10,51138,22140,53568,33480
u0.w\[0\]\[21\]$_DFF_P_,text_out\[117\]$_DFF_P_,2.8378e-10,8.1031e-11,3.64811e-10,34560,20520,50112,32130
u0.w\[0\]\[22\]$_DFF_P_,text_out\[118\]$_DFF_P_,2.87655e-10,7.71272e-11,3.64783e-10,50274,30510,51678,30240
sa10_sr\[7\]$_DFF_P_,text_out\[119\]$_DFF_P_,2.682e-10,9.6583e-11,3.64783e-10,50922,35100,64098,34830
sa23_sr\[3\]$_DFF_P_,text_out\[11\]$_DFF_P_,2.80241e-10,8.45213e-11,3.64762e-10,40878,27540,2160,39960
sa00_sr\[0\]$_DFF_P_,text_out\[120\]$_DFF_P_,2.77688e-10,8.71345e-11,3.64822e-10,50598,35640,52542,28620
sa00_sr\[1\]$_DFF_P_,text_out\[121\]$_DFF_P_,2.65343e-10,9.94785e-11,3.64822e-10,53244,37800,53622,28350
u0.w\[0\]\[26\]$_DFF_P_,text_out\[122\]$_DFF_P_,2.78762e-10,8.60285e-11,3.64791e-10,30834,19170,63342,24840
u0.w\[0\]\[27\]$_DFF_P_,text_out\[123\]$_DFF_P_,2.83264e-10,8.15578e-11,3.64822e-10,33912,17820,51354,28620
u0.w\[0\]\[28\]$_DFF_P_,text_out\[124\]$_DFF_P_,2.83967e-10,8.08317e-11,3.64799e-10,31698,15660,65070,24030
sa00_sr\[5\]$_DFF_P_,text_out\[125\]$_DFF_P_,2.83315e-10,8.15065e-11,3.64822e-10,58374,36180,63450,25110
sa00_sr\[6\]$_DFF_P_,text_out\[126\]$_DFF_P_,2.8424e-10,8.05364e-11,3.64776e-10,61992,25650,48222,4050
sa00_sr\[7\]$_DFF_P_,text_out\[127\]$_DFF_P_,2.79082e-10,8.5739e-11,3.64821e-10,52056,32130,52218,32940
sa23_sr\[4\]$_DFF_P_,text_out\[12\]$_DFF_P_,2.84471e-10,8.03115e-11,3.64783e-10,44982,35370,13284,39150
sa23_sr\[5\]$_DFF_P_,text_out\[13\]$_DFF_P_,2.88442e-10,7.63488e-11,3.64791e-10,38178,32130,2160,37530
sa23_sr\[6\]$_DFF_P_,text_out\[14\]$_DFF_P_,2.88653e-10,7.61411e-11,3.64794e-10,43470,27270,2916,34830
sa23_sr\[7\]$_DFF_P_,text_out\[15\]$_DFF_P_,2.64898e-10,9.98991e-11,3.64797e-10,38448,29700,15012,32130
sa13_sr\[0\]$_DFF_P_,text_out\[16\]$_DFF_P_,2.8491e-10,7.99121e-11,3.64822e-10,16902,27270,18090,24030
sa13_sr\[1\]$_DFF_P_,text_out\[17\]$_DFF_P_,2.79214e-10,8.5607e-11,3.64821e-10,19224,25920,20250,24570
sa13_sr\[2\]$_DFF_P_,text_out\[18\]$_DFF_P_,2.82115e-10,8.26876e-11,3.64802e-10,34290,23220,23760,3240
sa13_sr\[3\]$_DFF_P_,text_out\[19\]$_DFF_P_,2.8424e-10,8.05364e-11,3.64776e-10,24084,22680,22788,20790
sa33_sr\[1\]$_DFF_P_,text_out\[1\]$_DFF_P_,2.79255e-10,8.55658e-11,3.64821e-10,10098,38880,16902,41040
sa13_sr\[4\]$_DFF_P_,text_out\[20\]$_DFF_P_,2.89053e-10,7.57393e-11,3.64792e-10,24138,26730,22032,26460
u0.w\[3\]\[21\]$_DFF_P_,text_out\[21\]$_DFF_P_,2.88599e-10,7.61885e-11,3.64787e-10,31914,14850,22194,28350
sa13_sr\[6\]$_DFF_P_,text_out\[22\]$_DFF_P_,2.88653e-10,7.61411e-11,3.64794e-10,24192,27270,23328,28890
sa13_sr\[7\]$_DFF_P_,text_out\[23\]$_DFF_P_,2.72177e-10,9.26202e-11,3.64797e-10,23868,26190,26784,4050
sa03_sr\[0\]$_DFF_P_,text_out\[24\]$_DFF_P_,2.79191e-10,8.55922e-11,3.64783e-10,16632,27000,18468,4320
sa03_sr\[1\]$_DFF_P_,text_out\[25\]$_DFF_P_,2.76072e-10,8.87307e-11,3.64802e-10,19062,26730,3132,21600
sa03_sr\[2\]$_DFF_P_,text_out\[26\]$_DFF_P_,2.79864e-10,8.49185e-11,3.64783e-10,18090,17010,22140,4050
sa03_sr\[3\]$_DFF_P_,text_out\[27\]$_DFF_P_,2.8445e-10,8.03286e-11,3.64779e-10,19710,21330,23814,4050
sa03_sr\[4\]$_DFF_P_,text_out\[28\]$_DFF_P_,2.8883e-10,7.59668e-11,3.64796e-10,13446,25920,3348,28350
sa03_sr\[5\]$_DFF_P_,text_out\[29\]$_DFF_P_,2.8445e-10,8.03286e-11,3.64779e-10,13770,26730,2808,27270
sa33_sr\[2\]$_DFF_P_,text_out\[2\]$_DFF_P_,2.67474e-10,9.73083e-11,3.64783e-10,11178,38880,22572,64800
sa03_sr\[6\]$_DFF_P_,text_out\[30\]$_DFF_P_,2.84483e-10,8.02952e-11,3.64779e-10,15066,27810,3780,28620
sa03_sr\[7\]$_DFF_P_,text_out\[31\]$_DFF_P_,2.78315e-10,8.64819e-11,3.64797e-10,14688,27270,14796,31590
sa32_sr\[0\]$_DFF_P_,text_out\[32\]$_DFF_P_,2.67641e-10,9.71807e-11,3.64822e-10,42390,45630,32022,64260
sa32_sr\[1\]$_DFF_P_,text_out\[33\]$_DFF_P_,2.79658e-10,8.51633e-11,3.64821e-10,40608,48600,30564,63990
sa32_sr\[2\]$_DFF_P_,text_out\[34\]$_DFF_P_,2.70928e-10,9.3894e-11,3.64822e-10,45522,48330,32022,63720
sa32_sr\[3\]$_DFF_P_,text_out\[35\]$_DFF_P_,2.75426e-10,8.9356e-11,3.64782e-10,47304,47250,3726,43470
sa32_sr\[4\]$_DFF_P_,text_out\[36\]$_DFF_P_,2.8672e-10,7.80769e-11,3.64797e-10,37962,39960,2646,41580
sa32_sr\[5\]$_DFF_P_,text_out\[37\]$_DFF_P_,2.81442e-10,8.33229e-11,3.64765e-10,38124,43470,33426,64530
sa32_sr\[6\]$_DFF_P_,text_out\[38\]$_DFF_P_,2.84063e-10,8.07107e-11,3.64774e-10,37962,44550,34182,64260
sa32_sr\[7\]$_DFF_P_,text_out\[39\]$_DFF_P_,2.81851e-10,8.2946e-11,3.64797e-10,38178,43200,33534,63990
sa33_sr\[3\]$_DFF_P_,text_out\[3\]$_DFF_P_,2.77222e-10,8.75808e-11,3.64802e-10,11124,39150,23220,62910
u0.w\[2\]\[8\]$_DFF_P_,text_out\[40\]$_DFF_P_,2.84159e-10,8.06626e-11,3.64822e-10,28350,49680,40986,65070
sa22_sr\[1\]$_DFF_P_,text_out\[41\]$_DFF_P_,2.79786e-10,8.50351e-11,3.64822e-10,36396,49140,38340,64800
u0.w\[2\]\[10\]$_DFF_P_,text_out\[42\]$_DFF_P_,2.84441e-10,8.03806e-11,3.64822e-10,33912,53460,36666,61020
u0.w\[2\]\[11\]$_DFF_P_,text_out\[43\]$_DFF_P_,2.81466e-10,8.33189e-11,3.64785e-10,34290,54810,35154,59400
sa22_sr\[4\]$_DFF_P_,text_out\[44\]$_DFF_P_,2.84483e-10,8.02952e-11,3.64779e-10,45198,49410,41526,64800
sa22_sr\[5\]$_DFF_P_,text_out\[45\]$_DFF_P_,2.88438e-10,7.63488e-11,3.64787e-10,43848,48870,40392,64800
