from_ff,to_ff,slack_ns,arrival_ns,required_ns,from_x,from_y,to_x,to_y
dpath.a_reg.out\[7\]$_DFFE_PP_,_302_,-1.04128e-10,1.04128e-10,1.47714e-10,3888,7830,7074,9990
dpath.b_reg.out\[13\]$_DFFE_PP_,_314_,-5.28298e-11,5.28298e-11,2.06456e-10,10638,8640,10800,8100
dpath.b_reg.out\[0\]$_DFFE_PP_,_315_,-3.48928e-11,3.48928e-11,2.04277e-10,10530,2700,11178,5670
dpath.b_reg.out\[1\]$_DFFE_PP_,_316_,1.29271e-10,3.84723e-11,1.67743e-10,4806,2160,4698,8370
dpath.b_reg.out\[2\]$_DFFE_PP_,_317_,1.41816e-10,5.31868e-11,1.95003e-10,6912,2160,4698,5670
dpath.a_reg.out\[13\]$_DFFE_PP_,_320_,5.47938e-11,1.13377e-10,1.68171e-10,9288,7830,11718,9720
dpath.a_reg.out\[14\]$_DFFE_PP_,_322_,5.32117e-11,1.72197e-10,2.25408e-10,12150,7290,10800,5670
dpath.b_reg.out\[0\]$_DFFE_PP_,_357_,4.96631e-11,1.44144e-10,1.92794e-10,10530,2700,6102,9990
dpath.a_reg.out\[7\]$_DFFE_PP_,_375_,1.53863e-11,1.09963e-10,1.25349e-10,3888,7830,6912,11070
ctrl.state.out\[0\]$_DFF_P_,ctrl.state.out\[0\]$_DFF_P_,1.47064e-10,1.53706e-10,2.94648e-10,9072,3780,9072,3780
dpath.a_reg.out\[9\]$_DFFE_PP_,ctrl.state.out\[1\]$_DFF_P_,4.19813e-11,2.52985e-10,2.94966e-10,7344,7830,8856,3240
dpath.a_reg.out\[9\]$_DFFE_PP_,ctrl.state.out\[2\]$_DFF_P_,4.79457e-11,2.52358e-10,2.94697e-10,7344,7830,8100,1620
dpath.a_reg.out\[9\]$_DFFE_PP_,dpath.a_reg.out\[0\]$_DFFE_PP_,8.65735e-12,2.86188e-10,2.94845e-10,7344,7830,11934,3510
dpath.a_reg.out\[9\]$_DFFE_PP_,dpath.a_reg.out\[10\]$_DFFE_PP_,8.65735e-12,2.86188e-10,2.94845e-10,7344,7830,12096,5940
dpath.a_reg.out\[9\]$_DFFE_PP_,dpath.a_reg.out\[11\]$_DFFE_PP_,2.21916e-11,2.75596e-10,2.96426e-10,7344,7830,11826,4590
dpath.a_reg.out\[9\]$_DFFE_PP_,dpath.a_reg.out\[12\]$_DFFE_PP_,1.58259e-11,2.83234e-10,2.94876e-10,7344,7830,9936,4590
dpath.a_reg.out\[9\]$_DFFE_PP_,dpath.a_reg.out\[13\]$_DFFE_PP_,2.59514e-11,2.70475e-10,2.96426e-10,7344,7830,9288,7830
dpath.a_reg.out\[9\]$_DFFE_PP_,dpath.a_reg.out\[14\]$_DFFE_PP_,2.85933e-11,2.73583e-10,2.94819e-10,7344,7830,12150,7290
dpath.a_reg.out\[9\]$_DFFE_PP_,dpath.a_reg.out\[15\]$_DFFE_PP_,2.85933e-11,2.73583e-10,2.94819e-10,7344,7830,11556,7830
